CU,CHILD CU,STOCK CODE,QTY,,,,,,,,,,,,,,
11ABC/CTRT,,000006484,2.00,,,,,,,,,,,,,,
11ABC/CTRT,,000006487,4.00,,,,,,,,,,,,,,
11ABC/CXS,,002401190,0.50,,,,,,,,,,,,,,
11ABC/CXS,,000000907,1.00,,,,,,,,,,,,,,
11ABC/CXS,,000006259,1.00,,,,,,,,,,,,,,
11ABC/CXS,,000012783,1.00,,,,,,,,,,,,,,
11ABC/CXS,,000001046,2.00,,,,,,,,,,,,,,
11ABC/CXS,,000006443,2.00,,,,,,,,,,,,,,
11ABC/CXS,,000006484,2.00,,,,,,,,,,,,,,
11ABC/CXS,,000006487,4.00,,,,,,,,,,,,,,
11ABC/OW,11ABCJ1,,1.00,,,,,,,,,,,,,,
11ABC/S,SET101-2,,1.00,,,,,,,,,,,,,,
11ABC/S,SET101-4,,1.00,,,,,,,,,,,,,,
11ABC/S,SET54-3,,3.00,,,,,,,,,,,,,,
11ABC/S,,000010490,0.10,,,,,,,,,,,,,,
11ABC/S,,000005890,1.00,,,,,,,,,,,,,,
11ABC/S,,000008338,1.00,,,,,,,,,,,,,,
11ABC/S,,000013118,1.00,,,,,,,,,,,,,,
11ABC/S,,000002569,2.00,,,,,,,,,,,,,,
11ABC/S,,000006443,2.00,,,,,,,,,,,,,,
11ABC/S,,000006484,2.00,,,,,,,,,,,,,,
11ABC/S,,000006487,4.00,,,,,,,,,,,,,,
11ABC/S,,000008521,15.00,,,,,,,,,,,,,,
11ABC/S120,11ABC/S,,1.00,,,,,,,,,,,,,,
11ABC/S120,,000020383,1.00,,,,,,,,,,,,,,
11ABC/S120,,000022762,2.00,,,,,,,,,,,,,,
11ABC/S35,11ABC/S,,1.00,,,,,,,,,,,,,,
11ABC/S35,,000020344,1.00,,,,,,,,,,,,,,
11ABC/S35,,000022761,2.00,,,,,,,,,,,,,,
11ABC/SU,,000001046,1.00,,,,,,,,,,,,,,
11ABC/SU,,000008521,1.00,,,,,,,,,,,,,,
11ABC/SU,,000010447,1.00,,,,,,,,,,,,,,
11ABC/SU,,000012775,1.00,,,,,,,,,,,,,,
11ABC/SU,,000012783,1.00,,,,,,,,,,,,,,
11ABC/SU,,000006487,4.00,,,,,,,,,,,,,,
11ABC/SU3,SET101-1,,1.00,,,,,,,,,,,,,,
11ABC/SU3,,000012775,1.00,,,,,,,,,,,,,,
11ABC/SU3,,000013118,1.00,,,,,,,,,,,,,,
11ABC/SU3,,000006487,4.00,,,,,,,,,,,,,,
11ABC/SU4,SET101-2,,1.00,,,,,,,,,,,,,,
11ABC/SU4,,000012775,1.00,,,,,,,,,,,,,,
11ABC/SU4,,000013118,1.00,,,,,,,,,,,,,,
11ABC/SU4,,000006487,4.00,,,,,,,,,,,,,,
11ABC/SUA,,000001046,1.00,,,,,,,,,,,,,,
11ABC/SUA,,000008521,1.00,,,,,,,,,,,,,,
11ABC/SUA,,000010447,1.00,,,,,,,,,,,,,,
11ABC/SUA,,000012775,1.00,,,,,,,,,,,,,,
11ABC/SUA,,000012783,1.00,,,,,,,,,,,,,,
11ABC/SUA,,000006487,4.00,,,,,,,,,,,,,,
11ABC/T,SET101-2,,1.00,,,,,,,,,,,,,,
11ABC/T,SET101-3,,1.00,,,,,,,,,,,,,,
11ABC/T,,000010490,0.10,,,,,,,,,,,,,,
11ABC/T,,000006443,1.00,,,,,,,,,,,,,,
11ABC/T,,000006484,1.00,,,,,,,,,,,,,,
11ABC/T,,000008338,1.00,,,,,,,,,,,,,,
11ABC/T,,000006487,2.00,,,,,,,,,,,,,,
11ABC/T,,000008521,15.00,,,,,,,,,,,,,,
11ABC/T120,11ABC/T,,1.00,,,,,,,,,,,,,,
11ABC/T120,SET162-23,,1.00,,,,,,,,,,,,,,
11ABC/T120,,000022762,1.00,,,,,,,,,,,,,,
11ABC/T35,11ABC/T,,1.00,,,,,,,,,,,,,,
11ABC/T35,SET162-21,,1.00,,,,,,,,,,,,,,
11ABC/T35,,000022761,1.00,,,,,,,,,,,,,,
11ABC/TO,HVE,,1.00,,,,,,,,,,,,,,
11ABC/TO,SET101-3,,1.00,,,,,,,,,,,,,,
11ABC/TO,SET271-2,,3.00,,,,,,,,,,,,,,
11ABC/TO,UG.HS/BKT.P,,1.00,,,,,,,,,,,,,,
11ABC/TO,,000010490,0.10,,,,,,,,,,,,,,
11ABC/TO,,000006443,1.00,,,,,,,,,,,,,,
11ABC/TO,,000006484,1.00,,,,,,,,,,,,,,
11ABC/TO,,000015337,1.00,,,,,,,,,,,,,,
11ABC/TO,,000000411,2.00,,,,,,,,,,,,,,
11ABC/TO,,000006487,2.00,,,,,,,,,,,,,,
11ABC/TO,,000000412,3.00,,,,,,,,,,,,,,
11ABC/TO,,000001081,3.00,,,,,,,,,,,,,,
11ABC/TO,,000014463,3.00,,,,,,,,,,,,,,
11ABC/TO,,000020279,9.00,,,,,,,,,,,,,,
11ABC/TO,,000001053,10.00,,,,,,,,,,,,,,
11ABC/TRS,,000002475,0.00,,,,,,,,,,,,,,
11ABC/TRS,,000001046,1.00,,,,,,,,,,,,,,
11ABC/TRS,,000008521,1.00,,,,,,,,,,,,,,
11ABC/TRS,,000010447,1.00,,,,,,,,,,,,,,
11ABC/TRS,,000012778,1.00,,,,,,,,,,,,,,
11ABC/TRS,,000012783,1.00,,,,,,,,,,,,,,
11ABC/TRS,,000002482,2.00,,,,,,,,,,,,,,
11ABC/TRS,,000006443,2.00,,,,,,,,,,,,,,
11ABC/TRS,,000006484,2.00,,,,,,,,,,,,,,
11ABC/TRS,,000006487,4.00,,,,,,,,,,,,,,
11ABC/TRS,,000022520,4.00,,,,,,,,,,,,,,
11ABC/TRT,,000002475,0.00,,,,,,,,,,,,,,
11ABC/TRT,,000001046,1.00,,,,,,,,,,,,,,
11ABC/TRT,,000002482,1.00,,,,,,,,,,,,,,
11ABC/TRT,,000006443,1.00,,,,,,,,,,,,,,
11ABC/TRT,,000006484,1.00,,,,,,,,,,,,,,
11ABC/TRT,,000008521,1.00,,,,,,,,,,,,,,
11ABC/TRT,,000010447,1.00,,,,,,,,,,,,,,
11ABC/TRT,,000012783,1.00,,,,,,,,,,,,,,
11ABC/TRT,,000022520,1.00,,,,,,,,,,,,,,
11ABC/TRT,,000006487,2.00,,,,,,,,,,,,,,
11ABC/XS,SET101-2,,2.00,,,,,,,,,,,,,,
11ABC/XS,SET101-3,,2.00,,,,,,,,,,,,,,
11ABC/XS,SET54-3,,3.00,,,,,,,,,,,,,,
11ABC/XS,,000010490,0.20,,,,,,,,,,,,,,
11ABC/XS,,000005890,1.00,,,,,,,,,,,,,,
11ABC/XS,,000002569,2.00,,,,,,,,,,,,,,
11ABC/XS,,000006443,2.00,,,,,,,,,,,,,,
11ABC/XS,,000006484,2.00,,,,,,,,,,,,,,
11ABC/XS,,000006487,4.00,,,,,,,,,,,,,,
11ABC/XS,,000008521,30.00,,,,,,,,,,,,,,
11ABC/XS120,11ABC/XS,,1.00,,,,,,,,,,,,,,
11ABC/XS120,,000020383,1.00,,,,,,,,,,,,,,
11ABC/XS120,,000022762,2.00,,,,,,,,,,,,,,
11ABC/XS35,11ABC/XS,,1.00,,,,,,,,,,,,,,
11ABC/XS35,,000020344,1.00,,,,,,,,,,,,,,
11ABC/XS35,,000022761,2.00,,,,,,,,,,,,,,
11ABC120/OW,11ABC/T120,,1.00,,,,,,,,,,,,,,
11ABC120/OW,11ABCJ1,,1.00,,,,,,,,,,,,,,
11ABC120/OW,SET162-30,,1.00,,,,,,,,,,,,,,
11ABC120/OW,,000022950,3.00,,,,,,,,,,,,,,
11ABC35/OW,11ABC/T35,,1.00,,,,,,,,,,,,,,
11ABC35/OW,11ABCJ1,,1.00,,,,,,,,,,,,,,
11ABC35/OW,SET162-30,,1.00,,,,,,,,,,,,,,
11ABC35/OW,,000022950,3.00,,,,,,,,,,,,,,
11ABC70/OW,HVE,,1.00,,,,,,,,,,,,,,
11ABC70/OW,SET257-1,,3.00,,,,,,,,,,,,,,
11ABC70/OW,,000010490,0.01,,,,,,,,,,,,,,
11ABC70/OW,,000006122,1.00,,,,,,,,,,,,,,
11ABC70/OW,,000006443,1.00,,,,,,,,,,,,,,
11ABC70/OW,,000006484,1.00,,,,,,,,,,,,,,
11ABC70/OW,,000008989,1.00,,,,,,,,,,,,,,
11ABC70/OW,,000015309,1.00,,,,,,,,,,,,,,
11ABC70/OW,,000006487,2.00,,,,,,,,,,,,,,
11ABC70/OW,,000017254,3.00,,,,,,,,,,,,,,
11ABC70/OW,,002401190,3.00,,,,,,,,,,,,,,
11ABC70/OW,,000006259,4.00,,,,,,,,,,,,,,
11ABC70/OW,,000004926,6.00,,,,,,,,,,,,,,
11ABCJ1,SET152-11,,1.00,,,,,,,,,,,,,,
11ABCJ1,SET156-1,,2.00,,,,,,,,,,,,,,
11ABCJ1,SET157-1,,1.00,,,,,,,,,,,,,,
11ABCJ1,SET161-5,,3.00,,,,,,,,,,,,,,
11ABCJ1,SET162-10,,3.00,,,,,,,,,,,,,,
11ABCJ1,SET257-4,,3.00,,,,,,,,,,,,,,
11ABCJ1,SET273-10,,3.00,,,,,,,,,,,,,,
11ABCJ1,SET273-20,,1.00,,,,,,,,,,,,,,
11ABCJ1,,000022756,0.20,,,,,,,,,,,,,,
11ABCJ1,,000014693,1.00,,,,,,,,,,,,,,
11ABCJ1,,000022792,1.00,,,,,,,,,,,,,,
11ABCJ1,,000000413,3.00,,,,,,,,,,,,,,
11ABCJ1,,000022847,3.00,,,,,,,,,,,,,,
11ABCJ1,,000010886,20.00,,,,,,,,,,,,,,
11ABCJ120,,000020383,1.00,,,,,,,,,,,,,,
11ABCJ2,SET152-11,,1.00,,,,,,,,,,,,,,
11ABCJ2,SET162-10,,3.00,,,,,,,,,,,,,,
11ABCJ2,SET257-4,,3.00,,,,,,,,,,,,,,
11ABCJ2,SET273-20,,1.00,,,,,,,,,,,,,,
11ABCJ2,SET51-1,,1.00,,,,,,,,,,,,,,
11ABCJ2,,000022756,0.30,,,,,,,,,,,,,,
11ABCJ2,,000022792,1.00,,,,,,,,,,,,,,
11ABCJ2,,000014693,2.00,,,,,,,,,,,,,,
